"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","ARO","V17","V18","V19","V20","V21","V22","ARG.class","gene","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.020_082_750.VANYB",178,869,"+","(Gly)vanY-M","1-692/702","===============","0/0",98.58,81.5,"argannot","FJ349556:3057-3758","(Gly)vanY-M",NA,"ARO:3002961","vanY gene in vanM cluster","Perfect","ARO:0000028,ARO:0000029","vancomycin,teicoplanin","ARO:3000081,ARO:3000081","glycopeptide antibiotic,glycopeptide antibiotic","Gly","vanY-M","ABRicate-ARGANNOT",81.5,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_085_891.PPS",1,2599,"+","(Rif)rphD","1-2617/2619","========/======","9/28",99.05,81.54,"argannot","NG_063826:1-2619","(Rif)rphD",NA,"ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","Rif","rphD","ABRicate-ARGANNOT",81.54,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.020_086_580.LSA",1,1448,"+","(MLS)lsa(B)","1-1448/1479","========/======","2/2",97.84,81.64,"argannot","AJ579365:4150-5628","(MLS)lsa(B)",NA,"ARO:3003111","lsaB","Perfect","ARO:0000026,ARO:0000066,ARO:3001317","streptogramin antibiotic,clindamycin,pleuromutilin","ARO:0000017,ARO:0000026,ARO:3000670","lincosamide antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","MLS","lsa(B)","ABRicate-ARGANNOT",81.64,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.020_091_523.UNKNOWN",2,651,"+","(Phe)catA9","2-651/651","===============","0/0",99.85,89.39,"argannot","K01998:288-938","(Phe)catA9",NA,"ARO:3004455","Streptococcus suis chloramphenicol acetyltransferase","Strict","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","Phe","catA9","ABRicate-ARGANNOT",89.39,"ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"GMGC10.020_145_579.BLA",1,965,"+","(Bla)blaSGM-1","1-965/966","========/======","2/2",99.79,81.99,"argannot","NG_049983:101-1066","(Bla)blaSGM-1",NA,"ARO:3006987","SGM-1","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","Bla","blaSGM-1","ABRicate-ARGANNOT",81.99,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.020_229_445.UNKNOWN",37,1494,"+","(Flq)qepA","52-1509/1536","========/======","9/14",94.47,83.14,"argannot","AB263754:7052-8587","(Flq)qepA",NA,"ARO:3004103","QepA2","Strict","ARO:0000036,ARO:0000074,ARO:3000662","ciprofloxacin,moxifloxacin,norfloxacin","ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","Flq","qepA","ABRicate-ARGANNOT",83.14,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_242_095.UNKNOWN",1,1407,"+","(Flq)qepA","103-1509/1536","========/======","3/6",91.41,82.84,"argannot","AB263754:7052-8587","(Flq)qepA",NA,"ARO:3004103","QepA2","Strict","ARO:0000036,ARO:0000074,ARO:3000662","ciprofloxacin,moxifloxacin,norfloxacin","ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","Flq","qepA","ABRicate-ARGANNOT",82.84,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_246_640.UNKNOWN",1,1436,"+","(Flq)qepA","73-1508/1536","========/======","2/6",93.29,83.46,"argannot","AB263754:7052-8587","(Flq)qepA",NA,"ARO:3004103","QepA2","Strict","ARO:0000036,ARO:0000074,ARO:3000662","ciprofloxacin,moxifloxacin,norfloxacin","ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","Flq","qepA","ABRicate-ARGANNOT",83.46,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_264_244.MEXF",1,3138,"+","(Flq)OqxBgb","1-3138/3153","========/======","2/2",99.49,81.08,"argannot","EU370913:47851-51003","(Flq)OqxBgb",NA,"ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","Flq","OqxBgb","ABRicate-ARGANNOT",81.08,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.020_287_529.PPS",1,2619,"+","(Rif)rphD","1-2619/2619","========/======","10/20",99.62,80.22,"argannot","NG_063826:1-2619","(Rif)rphD",NA,"ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","Rif","rphD","ABRicate-ARGANNOT",80.22,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.020_294_217.CPHA",1,717,"+","(Bla)blaJOHN-1","1-717/747","========/======","2/4",95.72,81.5,"argannot","AY02846:443-1189","(Bla)blaJOHN-1",NA,"ARO:3000840","JOHN-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaJOHN-1","ABRicate-ARGANNOT",81.5,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.020_377_906.BLT",1,1176,"+","(Tet)tet(42)","52-1227/1287","========/======","4/4",91.22,85.65,"argannot","EU523697:687-1973","(Tet)tet(42)",NA,"ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","tet(42)","ABRicate-ARGANNOT",85.65,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_398_043.BLT",1,1179,"+","(Tet)tet(42)","52-1230/1287","========/======","4/4",91.45,84.59,"argannot","EU523697:687-1973","(Tet)tet(42)",NA,"ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","tet(42)","ABRicate-ARGANNOT",84.59,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_415_669.BLT",1,1154,"+","(Tet)tet(42)","52-1205/1287","========/======","4/4",89.51,80.1,"argannot","EU523697:687-1973","(Tet)tet(42)",NA,"ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","tet(42)","ABRicate-ARGANNOT",80.1,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_561_855.BLA",14,884,"+","(Bla)blaLRA-1","14-878/888","========/======","6/14",96.96,80.69,"argannot","NG_047484:101-988","(Bla)blaLRA-1",NA,"ARO:3002482","LRA-1","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaLRA-1","ABRicate-ARGANNOT",80.69,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.020_564_424.CAT",7,538,"+","(Phe)catB1","7-535/630","========/====..","2/9",83.49,80.37,"argannot","M58472:148-777","(Phe)catB1",NA,"ARO:3004451","Agrobacterium fabrum chloramphenicol acetyltransferase","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","Phe","catB1","ABRicate-ARGANNOT",80.37,"ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"GMGC10.020_647_833.RV0906",1,1018,"+","(Bla)BlaA1","1-1018/1020","===============","0/0",99.8,84.38,"argannot","NC_010410:1803480-1804499","(Bla)BlaA1",NA,"ARO:3000853","AIM-1","Loose","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","BlaA1","ABRicate-ARGANNOT",84.38,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.020_689_241.BLT",1,1183,"+","(Tet)tet(42)","52-1234/1287","===============","0/0",91.92,89.94,"argannot","EU523697:687-1973","(Tet)tet(42)",NA,"ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","tet(42)","ABRicate-ARGANNOT",89.94,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_716_619.SCLAV_1483",47,1026,"+","(MLS)ole(C)","5-978/978","========/======","1/6",99.59,89.29,"argannot","L06249:1528-2505","(MLS)ole(C)",NA,"ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","MLS","ole(C)","ABRicate-ARGANNOT",89.29,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.020_717_723.EXPZ",1,1656,"+","(MLS)car(A)","1-1656/1656","===============","0/0",100,93.24,"argannot","M80346:411-2066","(MLS)car(A)",NA,"ARO:3002817","carA","Strict","ARO:3001228","carbomycin","ARO:0000000","macrolide antibiotic","MLS","car(A)","ABRicate-ARGANNOT",93.24,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.020_757_773.UNKNOWN",1,1094,"+","(Phe)cmrA","61-1155/1176","========/======","1/1",93.03,97.35,"argannot","Z12001:993-2168","(Phe)cmrA",NA,"ARO:3002701","Rhodococcus fascians cmr","Strict","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","Phe","cmrA","ABRicate-ARGANNOT",97.35,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_791_681.UNKNOWN",1,1128,"+","(Phe)cmlV","73-1203/1311","========/=====.","1/3",86.04,91.07,"argannot","U09991:28-1338","(Phe)cmlV",NA,"ARO:3002700","cmlv","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","Phe","cmlV","ABRicate-ARGANNOT",91.07,"ARO:3000249","chloramphenicol phosphotransferase","cpt"
"GMGC10.020_791_682.UNKNOWN",1,518,"+","(Phe)cpt_strepv","13-530/537","===============","0/0",96.46,85.14,"argannot","U09991:1412-1948","(Phe)cpt_strepv",NA,"ARO:3000249","chloramphenicol phosphotransferase","Manual","ARO:3000387","phenicol antibiotic","ARO:3000387","phenicol antibiotic","Phe","cpt_strepv","ABRicate-ARGANNOT",85.14,"ARO:3000249","chloramphenicol phosphotransferase","cpt"
"GMGC10.020_800_486.UNKNOWN",13,1188,"+","(MLS)oleD","19-1194/1248","===============","0/0",94.23,80.53,"argannot","NG_048021:11248","(MLS)oleD",NA,"ARO:3000865","oleD","Perfect","ARO:0000006,ARO:3000145","erythromycin,tylosin","ARO:0000000,ARO:0000000","macrolide antibiotic,macrolide antibiotic","MLS","oleD","ABRicate-ARGANNOT",80.53,"ARO:3000458","macrolide glycosyltransferase","mgt"
"GMGC10.020_828_959.ERMX",1,891,"+","(MLS)erm(30)","91-1005/1011",".=======/======","3/24",88.13,86.89,"argannot","AF079138:1283-2293","(MLS)erm(30)",NA,"ARO:3001265","Erm(30)","Perfect","ARO:0000017,ARO:0000026,ARO:3001226,ARO:3001232,ARO:3001233","lincosamide antibiotic,streptogramin antibiotic,narbomycin,methymycin,pikromycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic","MLS","erm(30)","ABRicate-ARGANNOT",86.89,"ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"GMGC10.020_831_507.UNKNOWN",1,1124,"+","(Phe)cmlV","73-1199/1311","========/=====.","1/3",85.74,87.75,"argannot","U09991:28-1338","(Phe)cmlV",NA,"ARO:3002700","cmlv","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","Phe","cmlV","ABRicate-ARGANNOT",87.75,"ARO:3000249","chloramphenicol phosphotransferase","cpt"
"GMGC10.020_836_424.UNKNOWN",2,522,"+","(Phe)cpt","11-531/531","========/======","2/2",97.93,80.65,"argannot","NG_051909:101-631","(Phe)cpt",NA,"ARO:3000249","chloramphenicol phosphotransferase","Manual","ARO:3000387","phenicol antibiotic","ARO:3000387","phenicol antibiotic","Phe","cpt","ABRicate-ARGANNOT",80.65,"ARO:3000249","chloramphenicol phosphotransferase","cpt"
"GMGC10.020_838_222.CMX",1,1157,"+","(Phe)cml","1-1156/1179","========/======","3/5",97.88,83.86,"argannot","X59968:508-1686","(Phe)cml",NA,"ARO:3002690","Streptomyces lividans cmlR","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","Phe","cml","ABRicate-ARGANNOT",83.86,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_902_622.BLT",1,1178,"+","(Tet)tet(42)","52-1229/1287","========/======","2/2",91.45,84.31,"argannot","EU523697:687-1973","(Tet)tet(42)",NA,"ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","tet(42)","ABRicate-ARGANNOT",84.31,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_912_768.UNKNOWN",22,455,"+","(AGly)aac3-Ii","10-443/459","===============","0/0",94.55,80.88,"argannot","CP000356:638262-638720","(AGly)aac3-Ii",NA,"ARO:3002530","AAC(3)-Ib","Loose","ARO:0000003,ARO:0000035,ARO:3007382","astromicin,sisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac3-Ii","ABRicate-ARGANNOT",80.88,"ARO:3000322","AAC(3)","aac"
"GMGC10.020_976_812.MBL1",10,883,"+","(Bla)blaAIM-1","10-883/912","===============","0/0",95.83,80.32,"argannot","AM998375:1173-2084","(Bla)blaAIM-1",NA,"ARO:3000853","AIM-1","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaAIM-1","ABRicate-ARGANNOT",80.32,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_053_441.LSA",1,1444,"+","(MLS)lsa(B)","1-1444/1479","===============","0/0",97.63,80.4,"argannot","AJ579365:4150-5628","(MLS)lsa(B)",NA,"ARO:3003111","lsaB","Perfect","ARO:0000026,ARO:0000066,ARO:3001317","streptogramin antibiotic,clindamycin,pleuromutilin","ARO:0000017,ARO:0000026,ARO:3000670","lincosamide antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","MLS","lsa(B)","ABRicate-ARGANNOT",80.4,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.021_083_611.PPS",1,2616,"+","(Rif)rphD","1-2619/2619","========/======","11/13",99.69,82.93,"argannot","NG_063826:1-2619","(Rif)rphD",NA,"ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","Rif","rphD","ABRicate-ARGANNOT",82.93,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.021_132_778.CPHA",1,747,"+","(Bla)blaJOHN-1","1-747/747","===============","0/0",100,84.07,"argannot","AY02846:443-1189","(Bla)blaJOHN-1",NA,"ARO:3000840","JOHN-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaJOHN-1","ABRicate-ARGANNOT",84.07,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_189_766.SCLAV_1483",43,1029,"+","(MLS)ole(C)","1-978/978","========/======","2/9",100,85.61,"argannot","L06249:1528-2505","(MLS)ole(C)",NA,"ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","MLS","ole(C)","ABRicate-ARGANNOT",85.61,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.021_227_176.UNKNOWN",37,555,"+","(AGly)aac6-31","1-519/519","===============","0/0",100,85.16,"argannot","AJ640197:2474-2992","(AGly)aac6-31",NA,"ARO:3002585","AAC(6')-31","Perfect","ARO:0000005,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000049,ARO:0000052,ARO:3000652,ARO:3007382","neomycin,amikacin,sisomicin,netilmicin,kanamycin A,tobramycin,isepamicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac6-31","ABRicate-ARGANNOT",85.16,"ARO:3000345","AAC(6')","aac"
"GMGC10.021_237_603.CPHA",1,747,"+","(Bla)blaJOHN-1","1-747/747","========/======","2/2",99.87,84.89,"argannot","AY02846:443-1189","(Bla)blaJOHN-1",NA,"ARO:3000840","JOHN-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaJOHN-1","ABRicate-ARGANNOT",84.89,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_259_854.AACC",24,812,"+","(AGly)aac(3)-IIIc","39-827/840","========/======","2/2",93.81,86.46,"argannot","L06161:106-945","(AGly)aac(3)-IIIc",NA,"ARO:3002538","AAC(3)-IIIc","Perfect","ARO:3004015","gentamicin A","ARO:0000016","aminoglycoside antibiotic","AGly","aac(3)-IIIc","ABRicate-ARGANNOT",86.46,"ARO:3000322","AAC(3)","aac"
"GMGC10.021_262_372.PPS",1,2595,"+","(Rif)rphD","1-2619/2619","========/======","12/38",98.82,80.88,"argannot","NG_063826:1-2619","(Rif)rphD",NA,"ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","Rif","rphD","ABRicate-ARGANNOT",80.88,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.021_291_367.CPHA",1,747,"+","(Bla)blaJOHN-1","1-747/747","===============","0/0",100,82.73,"argannot","AY02846:443-1189","(Bla)blaJOHN-1",NA,"ARO:3000840","JOHN-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaJOHN-1","ABRicate-ARGANNOT",82.73,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_338_602.MBL1",13,873,"+","(Bla)blaL1","13-873/873","===============","0/0",98.63,90.24,"argannot","NG_047517:101-973","(Bla)blaL1",NA,"ARO:3000582","L1 beta-lactamase","Loose","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","Bla","blaL1","ABRicate-ARGANNOT",90.24,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_339_115.STRB",1,806,"+","(AGly)sph-I","1-806/813","===============","0/0",99.14,86.23,"argannot","HQ424461:18-830","(AGly)sph-I",NA,"ARO:3002659","APH(6)-Ic","Loose","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","AGly","sph-I","ABRicate-ARGANNOT",86.23,"ARO:3000151","APH(6)","aph"
"GMGC10.021_348_947.RV0906",1,1018,"+","(Bla)BlaA1","1-1018/1020","===============","0/0",99.8,90.37,"argannot","NC_010410:1803480-1804499","(Bla)BlaA1",NA,"ARO:3000853","AIM-1","Loose","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","BlaA1","ABRicate-ARGANNOT",90.37,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_351_006.RV0906",1,1018,"+","(Bla)BlaA1","1-1018/1020","===============","0/0",99.8,90.96,"argannot","NC_010410:1803480-1804499","(Bla)BlaA1",NA,"ARO:3000853","AIM-1","Loose","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","BlaA1","ABRicate-ARGANNOT",90.96,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_356_271.UNKNOWN",1,1543,"+","(Tet)TetAB","1-1542/1542","========/======","1/1",100,86,"argannot","NG_051437:101-1642","(Tet)TetAB",NA,"ARO:3004639","Corynebacterium striatum tetA","Perfect","ARO:0000051,ARO:0000056,ARO:3000668","tetracycline,oxacillin,oxytetracycline","ARO:3000007,ARO:3000050,ARO:3000050","beta-lactam antibiotic,tetracycline antibiotic,tetracycline antibiotic","Tet","TetAB","ABRicate-ARGANNOT",86,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.021_356_730.AMPC",1,1152,"+","(Bla)blaADC-21","1-1152/1152","===============","0/0",100,94.27,"argannot","NG_048646:1-1152","(Bla)blaADC-21",NA,"ARO:3003865","ADC-21","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","Bla","blaADC-21","ABRicate-ARGANNOT",94.27,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.021_667_394.UNKNOWN",1,857,"+","(Bla)blaPEDO-2","1-857/858","===============","0/0",99.88,94.87,"argannot","KP109678:5818-6675","(Bla)blaPEDO-2",NA,"ARO:3003714","PEDO-2","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","Bla","blaPEDO-2","ABRicate-ARGANNOT",94.87,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_682_197.VANX",1,609,"+","(Gly)vanX-Sc","1-609/609","========/======","5/8",99.34,81.08,"argannot","AL939117:55404-56012","(Gly)vanX-Sc",NA,"ARO:3003725","vanX gene in vanI cluster","Strict","ARO:0000028,ARO:0000029","vancomycin,teicoplanin","ARO:3000081,ARO:3000081","glycopeptide antibiotic,glycopeptide antibiotic","Gly","vanX-Sc","ABRicate-ARGANNOT",81.08,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.021_706_398.AACA7",1,438,"+","(AGly)aac6-Iy","1-438/438","===============","0/0",100,95.66,"argannot","AF144880:3452-3979","(AGly)aac6-Iy",NA,"ARO:3002569","AAC(6')-Iy","Perfect","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac6-Iy","ABRicate-ARGANNOT",95.66,"ARO:3000345","AAC(6')","aac"
"GMGC10.021_710_931.MBL1",1,847,"+","(Bla)blaCAU-1","1-850/870","========/======","5/11",96.9,81.27,"argannot","AJ308331:1-870","(Bla)blaCAU-1",NA,"ARO:3000855","CAU-1","Perfect","ARO:0000020,ARO:3000008","carbapenem,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaCAU-1","ABRicate-ARGANNOT",81.27,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.021_728_954.NEO",1,795,"+","(AGly)aphA2","1-795/795","===============","0/0",100,91.7,"argannot","X57709:1-795","(AGly)aphA2",NA,"ARO:3002644","APH(3')-IIa","Strict","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aphA2","ABRicate-ARGANNOT",91.7,"ARO:3000126","APH(3')","aph"
"GMGC10.021_728_955.STRB",1,789,"+","(AGly)sph","43-843/843","========/======","3/14",93.48,89.28,"argannot","AY037297:2706-3548","(AGly)sph",NA,"ARO:3002659","APH(6)-Ic","Strict","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","AGly","sph","ABRicate-ARGANNOT",89.28,"ARO:3000151","APH(6)","aph"
"GMGC10.021_729_674.BCR",2,1209,"+","(Phe)bcr1","2-1209/1209","========/======","2/6",99.67,91.41,"argannot","NG_055652:101-1309","(Phe)bcr1",NA,"ARO:3003801","bcr-1","Strict","ARO:0000055","bicyclomycin","ARO:3007150","bicyclomycin-like antibiotic","Phe","bcr1","ABRicate-ARGANNOT",91.41,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
