"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","gene","drug","ARO","V17","V18","V19","V20","V21","V22","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.006_423_898.BLA",1,882,"+","blaERP-1_1","1-882/882","===============","0/0",100,100,"resfinder","AY077733","blaERP-1","","ARO:3004782","ERP-1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.006_445_793.CAT",1,659,"+","catB_1","1-659/660","===============","0/0",99.85,82.55,"resfinder","M93113","catB","Chloramphenicol","ARO:3002674","Clostridium butyricum catB","Perfect","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ABRicate-ResFinder",82.55,"ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"GMGC10.006_519_004.SCLAV_1483",25,1003,"+","otr(C)_1","1-979/1056","========/=====.","12/12",92.14,83.55,"resfinder","AY509111","otr(C)","Doxycycline;Tetracycline","ARO:3002894","otr(C)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",83.55,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.006_524_561.MEXF",1,3105,"+","OqxB_1","1-3105/3153","========/======","11/16",98.22,82.85,"resfinder","EU370913","oqxB","Nalidixic_acid;Ciprofloxacin","ARO:3003923","","","","","","","ABRicate-ResFinder",82.85,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.006_570_999.BLA",53,924,"+","blaSGM-2_1","44-918/936","========/======","4/5",93.06,80.02,"resfinder","AP010803","blaSGM-2","","ARO:3006988","SGM-2","Strict","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",80.02,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.006_574_647.BLA",72,912,"+","blaSGM-1_1","87-927/966",".=======/======","2/2",86.96,81.59,"resfinder","AAQG01000013","blaSGM-1","","ARO:3006987","SGM-1","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",81.59,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.006_675_286.ERMA",6,843,"+","erm(D)_3","6-843/864","===============","0/0",96.99,87.95,"resfinder","M77505","erm(D)","Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S","ARO:3000495","ErmD","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ABRicate-ResFinder",87.95,"ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"GMGC10.006_684_422.UNKNOWN",1,1210,"+","mef(A)_3","1-1210/1218","========/======","2/2",99.26,85.55,"resfinder","AF227520","mef(A)","Erythromycin;Azithromycin","ARO:3000616","mel","Perfect","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","ABRicate-ResFinder",85.55,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.006_722_692.ERMX",1,1161,"+","erm(38)_1","1-1161/1161","===============","0/0",100,99.91,"resfinder","AY154657","erm(38)","Erythromycin;Telithromycin;Lincomycin;Clindamycin","ARO:3000601","Erm(38)","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ABRicate-ResFinder",99.91,"ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"GMGC10.006_773_427.AMPC",1,1141,"+","blaACT-4_2","1-1141/1146","========/======","2/6",99.3,81.38,"resfinder","AJ311172","blaACT-4","","ARO:3001829","ACT-4","Strict","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",81.38,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.006_774_836.QNR",7,647,"+","qnrB35_1","4-644/645","===============","0/0",99.38,80.19,"resfinder","JN173057","qnrB35","Ciprofloxacin","ARO:3002750","QnrB35","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ABRicate-ResFinder",80.19,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
"GMGC10.006_954_837.BLA",1,894,"+","blaFAR-1_1","1-894/894","===============","0/0",100,99.44,"resfinder","AF024601","blaFAR-1","","ARO:3004784","FAR-1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",99.44,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.007_162_725.AADA",1,769,"+","aadA1_5","13-781/792","===============","0/0",97.1,100,"resfinder","JX185132","aadA1","Streptomycin","ARO:3002601","aadA","Strict","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",100,"ARO:3004275","ANT(3'')","ant"
"GMGC10.007_165_657.TETA",1,1199,"+","tet(A)_4","1-1200/1200","========/======","1/1",99.92,99.92,"resfinder","AJ517790","tet(A)","Doxycycline;Tetracycline","ARO:3000165","tet(A)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",99.92,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.007_203_163.ENC_03340",1,1533,"+","tcr3_1","7-1539/1539","========/======","5/8",99.35,87.83,"resfinder","D38215","tcr3","Doxycycline;Tetracycline","ARO:3002893","tcr3","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",87.83,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.007_212_479.UNKNOWN",1,927,"+","blaPER-2_1","1-927/927","===============","0/0",100,100,"resfinder","X93314","blaPER-2","","ARO:3002364","PER-2","Perfect","ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008","monobactam,carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.007_227_663.UNKNOWN",1,1377,"+","tet(45)_1","1-1377/1377","===============","0/0",100,92.01,"resfinder","JF837331","tet(45)","Doxycycline;Tetracycline","ARO:3003196","tet(45)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",92.01,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.007_258_329.UNKNOWN",217,750,"+","ant(2'')-Ia_1","1-534/534","===============","0/0",100,100,"resfinder","X04555","ant(2'')-Ia","Gentamicin;Tobramycin","ARO:3000230","ANT(2'')-Ia","Perfect","ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3007382","dibekacin,sisomicin,kanamycin A,tobramycin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",100,"ARO:3004276","ANT(2'')","ant"
"GMGC10.007_395_010.MEXE",1,1176,"+","OqxA_1","1-1176/1176","===============","0/0",100,85.63,"resfinder","EU370913","oqxA","Nalidixic_acid;Ciprofloxacin","ARO:3003922","","","","","","","ABRicate-ResFinder",85.63,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.007_395_012.MEXF",1,3119,"+","OqxB_1","1-3119/3153","===============","0/0",98.92,88.01,"resfinder","EU370913","oqxB","Nalidixic_acid;Ciprofloxacin","ARO:3003923","","","","","","","ABRicate-ResFinder",88.01,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.007_442_608.UNKNOWN",1,951,"+","blaZ_12","1-951/951","===============","0/0",100,97.9,"resfinder","M15195","blaZ","Amoxicillin;Ampicillin;Penicillin;Piperacillin","ARO:3007101","BcIII","Strict","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",97.9,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.007_464_249.CMR",1,1233,"+","mdf(A)_1","1-1233/1233","===============","0/0",100,89.54,"resfinder","Y08743","mdf(A)","","ARO:3001328","","","","","","","ABRicate-ResFinder",89.54,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.007_613_115.AMPC",1,1074,"+","blaCMY-100_1","1-1072/1146","========/======","1/2",93.54,91.16,"resfinder","KF526113","blaCMY-100","Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid","ARO:3002112","CMY-100","Perfect","ARO:3009106","second-generation cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",91.16,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.007_614_472.QNR",38,683,"+","qnrB21_1","1-644/645","========/======","2/2",99.84,94.12,"resfinder","FJ611948","qnrB21","Ciprofloxacin","ARO:3002736","QnrB21","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ABRicate-ResFinder",94.12,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
"GMGC10.007_657_999.ERMA",1,731,"+","erm(G)_1","1-731/735","===============","0/0",99.46,80.44,"resfinder","M15332","erm(G)","Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S","ARO:3000522","ErmG","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ABRicate-ResFinder",80.44,"ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"GMGC10.007_663_890.BLA",1,929,"+","blaSGM-2_1","7-935/936","===============","0/0",99.25,91.71,"resfinder","AP010803","blaSGM-2","","ARO:3006988","SGM-2","Strict","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",91.71,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.007_669_314.TETA",1,1200,"+","tet(A)_4","1-1200/1200","===============","0/0",100,94.92,"resfinder","AJ517790","tet(A)","Doxycycline;Tetracycline","ARO:3000165","tet(A)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",94.92,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.007_681_315.TETA",1,1176,"+","tet(Y)_1","1-1176/1176","===============","0/0",100,100,"resfinder","EF495198","tet(Y)","Doxycycline;Tetracycline","ARO:3000182","tet(Y)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",100,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.007_685_247.AACC",6,837,"+","aac(3)-VIIa_1","15-846/867","========/======","2/2",95.85,81.03,"resfinder","M22999","aac(3)-VIIa","","ARO:3002541","AAC(3)-VIIa","Perfect","ARO:3000657","paromomycin","ARO:0000016","aminoglycoside antibiotic","ABRicate-ResFinder",81.03,"ARO:3000322","AAC(3)","aac"
"GMGC10.007_685_704.SCLAV_1483",124,1094,"+","otr(C)_1","1-971/1056","========/=====.","15/18",91.1,81.94,"resfinder","AY509111","otr(C)","Doxycycline;Tetracycline","ARO:3002894","otr(C)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",81.94,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.007_686_092.APHD",1,911,"+","aph(6)-Ib_1","1-911/924","========/======","4/4",98.38,81.38,"resfinder","X05648","aph(6)-Ib","Streptomycin","ARO:3002658","APH(6)-Ib","Perfect","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ABRicate-ResFinder",81.38,"ARO:3000151","APH(6)","aph"
"GMGC10.007_804_100.SCLAV_1483",43,1026,"+","ole(C)_1","1-978/978","========/======","1/6",100,86.69,"resfinder","L06249","ole(C)","Oleandomycin","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ABRicate-ResFinder",86.69,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.007_843_564.SCLAV_1483",43,1020,"+","ole(C)_1","1-978/978","===============","0/0",100,84.15,"resfinder","L06249","ole(C)","Oleandomycin","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ABRicate-ResFinder",84.15,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.007_860_052.AMPC",1,1149,"+","blaCMY-8_1","1-1149/1149","===============","0/0",100,99.83,"resfinder","AB201268","blaCMY-8","Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid","ARO:3002019","CMY-8","Perfect","ARO:3009106","second-generation cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",99.83,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.007_927_243.BLA",1,852,"+","blaVHH-1_1","1-852/852","========/======","2/2",99.88,96.72,"resfinder","NG050334","blaVHH-1","","ARO:3007003","VHH-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000637","carbapenem,cephalosporin,ampicillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",96.72,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.007_984_917.UNKNOWN",1,801,"+","blaOXA-20_1","1-801/801","===============","0/0",100,100,"resfinder","AY307114","blaOXA-20","Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid","ARO:3001415","OXA-20","Strict","ARO:0000056","oxacillin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.008_105_926.EPTA",1,1698,"+","mcr-8_1","1-1698/1698","===============","0/0",100,99.71,"resfinder","MG736312","mcr-8","Colistin","ARO:3004516","MCR-8.1","Perfect","ARO:3000622,ARO:3000624","colistin A,colistin B","ARO:3000053,ARO:3000053","peptide antibiotic,peptide antibiotic","ABRicate-ResFinder",99.71,"ARO:3003580","gene altering cell wall charge","cell wall charge"
"GMGC10.008_210_075.SCLAV_1483",31,1014,"+","ole(C)_1","1-978/978","========/======","1/6",100,90.14,"resfinder","L06249","ole(C)","Oleandomycin","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ABRicate-ResFinder",90.14,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.008_222_153.SCLAV_1890",1,804,"+","lnu(G)_1","1-804/804","===============","0/0",100,98.51,"resfinder","KX470419","lnu(G)","Lincomycin","ARO:3004085","lnuG","Strict","ARO:0000046","lincomycin","ARO:0000017","lincosamide antibiotic","ABRicate-ResFinder",98.51,"ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
"GMGC10.008_237_791.SFLR",1,1266,"+","cmlB1_1","1-1266/1266","===============","0/0",100,86.49,"resfinder","AM296481","cmlB1","Chloramphenicol","ARO:3002699","cmlB1","Strict","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ABRicate-ResFinder",86.49,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.008_335_189.TETA",1,1176,"+","tet(G)_2","1-1176/1176","===============","0/0",100,96.85,"resfinder","AF133140","tet(G)","Doxycycline;Tetracycline","ARO:3000174","tet(G)","Loose","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",96.85,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.008_335_765.TETA",1,1178,"+","tet(H)_3","1-1178/1203","===============","0/0",97.92,94.99,"resfinder","Y15510","tet(H)","Doxycycline;Tetracycline","ARO:3000175","tet(H)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",94.99,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.008_336_867.BLA",1,897,"+","hugA_1","1-897/897","===============","0/0",100,90.3,"resfinder","AF324468","hugA","","ARO:3008784","OXY-10-1","Loose","ARO:0000004,ARO:0000032,ARO:3000008","monobactam,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",90.3,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.008_338_976.MBL1",61,873,"+","blaL1_3","58-870/870",".==============","0/0",93.45,88.56,"resfinder","EF126059","blaL1","","ARO:3000582","L1 beta-lactamase","Loose","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",88.56,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.008_362_797.OXA",4,828,"+","blaOXA-22_1","1-825/825","===============","0/0",100,92,"resfinder","AF064820","blaOXA-22","Amoxicillin;Ampicillin;Aztreonam;Cefepime;Piperacillin;Piperacillin+Tazobactam","ARO:3001417","OXA-22","Perfect","ARO:0000032,ARO:0000056,ARO:3000008","cephalosporin,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",92,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.008_362_873.YBXI",1,816,"+","blaOXA-60d_1","1-816/816","===============","0/0",100,100,"resfinder","AY664506","blaOXA-60d","","ARO:3005326","OXA-571","Strict","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.008_403_246.MBL1",61,873,"+","blaL1_3","58-870/870","========/======","2/2",93.33,88.82,"resfinder","EF126059","blaL1","","ARO:3000582","L1 beta-lactamase","Loose","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",88.82,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.008_554_974.SCLAV_1483",43,1029,"+","ole(C)_1","1-978/978","========/======","1/9",100,88.75,"resfinder","L06249","ole(C)","Oleandomycin","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ABRicate-ResFinder",88.75,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.008_697_088.QNR",4,648,"+","qnrB69_1","1-645/645","===============","0/0",100,99.53,"resfinder","KC580658","qnrB69","Ciprofloxacin","ARO:3002781","QnrB69","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ABRicate-ResFinder",99.53,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
"GMGC10.008_707_685.CPHA",1,729,"+","blaCGB-1_1","1-729/729","========/======","2/2",99.86,87.12,"resfinder","EF672680","blaCGB-1","","ARO:3000841","CGB-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",87.12,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.008_716_199.FOSB",1,407,"+","fosA_4","1-408/408","========/======","1/1",99.75,99.27,"resfinder","ACWU01000146","fosA","Fosfomycin","ARO:3000149","FosA","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-ResFinder",99.27,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.008_732_171.SCLAV_1483",35,963,"+","otr(C)_1","35-963/1056","========/=====.","14/18",87.12,80.81,"resfinder","AY509111","otr(C)","Doxycycline;Tetracycline","ARO:3002894","otr(C)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",80.81,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.008_738_752.AACA7",1,438,"+","aac(6')-Iaa_1","1-438/438","===============","0/0",100,97.26,"resfinder","NC_003197","aac(6')-Iaa","Amikacin;Tobramycin","ARO:3002571","","","","","","","ABRicate-ResFinder",97.26,"ARO:3000345","AAC(6')","aac"
