"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","gene","ARG.class","ARO","V17","V18","V19","V20","V21","V22","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.019_503_945.UNKNOWN",94,645,"+","aac(6')-Iae","1-552/552","===============","0/0",100,100,"ncbi","NG_047277.1","aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae","AMINOGLYCOSIDE","ARO:3002573","AAC(6')-Iae","Perfect","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",100,"ARO:3000345","AAC(6')","aac"
"GMGC10.019_510_266.OXA",1,795,"+","blaOXA-427","1-795/795","===============","0/0",100,98.99,"ncbi","NG_055581.1","class D beta-lactamase OXA-427","BETA-LACTAM","ARO:3003115","","","","","","","ABRicate-NCBI",98.99,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.019_514_432.CPHA",1,774,"+","BcII","1-774/774","===============","0/0",100,96.12,"ncbi","NG_047224.1","BcII family subclass B1 metallo-beta-lactamase","CARBAPENEM","ARO:3002878","BcII","Strict","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",96.12,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.019_514_942.VANZ",27,611,"+","vanZ-F","21-605/621","===============","0/0",94.2,83.42,"ncbi","NG_048535.1","glycopeptide resistance protein VanZ-F","VANCOMYCIN","ARO:3002963","vanZ gene in vanF cluster","Perfect","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","ABRicate-NCBI",83.42,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.019_517_915.VANZ",27,605,"+","vanZ-F","21-596/621","========/======","3/5",92.59,83.45,"ncbi","NG_048535.1","glycopeptide resistance protein VanZ-F","VANCOMYCIN","ARO:3002963","vanZ gene in vanF cluster","Perfect","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","ABRicate-NCBI",83.45,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.019_523_375.DIMT1",1,447,"+","erm(37)","88-534/540","..=============","0/0",82.78,100,"ncbi","NG_047780.1","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(37)","MACROLIDE","ARO:3000392","Erm(37)","Perfect","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ABRicate-NCBI",100,"ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"GMGC10.019_525_067.FOSB",6,417,"+","fosB-38141535","6-417/417","===============","0/0",98.8,97.09,"ncbi","NG_047887.1","FosB family fosfomycin resistance bacillithiol transferase","FOSFOMYCIN","ARO:3007372","FosBx1","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-NCBI",97.09,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.019_526_805.CPHA",1,780,"+","BcII","1-774/774","========/======","1/6",100,94.1,"ncbi","NG_047224.1","BcII family subclass B1 metallo-beta-lactamase","CARBAPENEM","ARO:3002878","BcII","Strict","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",94.1,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.019_535_820.FOSB",1,416,"+","fosB_gen","1-416/417","===============","0/0",99.76,87.98,"ncbi","NG_055636.1","FosB/FosD family fosfomycin resistance bacillithiol transferase","FOSFOMYCIN","ARO:3004661","Staphylococcus aureus FosB","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-NCBI",87.98,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.019_537_747.CPHA",1,774,"+","BcII","1-774/774","===============","0/0",100,93.93,"ncbi","NG_056058.1","BcII family subclass B1 metallo-beta-lactamase","CARBAPENEM","ARO:3002878","BcII","Strict","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",93.93,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.019_544_038.BAS0904",27,626,"+","vanZ-F","21-605/621","========/======","1/15",94.2,80,"ncbi","NG_048535.1","glycopeptide resistance protein VanZ-F","VANCOMYCIN","ARO:3002963","vanZ gene in vanF cluster","Perfect","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","ABRicate-NCBI",80,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.019_544_345.BLA",1,921,"+","bla1","10-930/930","===============","0/0",99.03,91.31,"ncbi","NG_055637.1","class A beta-lactamase Bla1","BETA-LACTAM","ARO:3000090","Bla1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",91.31,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.019_545_422.YBXI",154,954,"+","blaOXA-10","1-801/801","===============","0/0",100,100,"ncbi","NG_049393.1","oxacillin-hydrolyzing class D beta-lactamase OXA-10","CEPHALOSPORIN","ARO:3001405","OXA-10","Perfect","ARO:0000032,ARO:0000056,ARO:3000008","cephalosporin,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.019_554_747.CPHA",1,774,"+","BcII","1-774/774","===============","0/0",100,98.97,"ncbi","NG_047224.1","BcII family subclass B1 metallo-beta-lactamase","CARBAPENEM","ARO:3002878","BcII","Strict","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",98.97,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.019_638_949.UNKNOWN",1,793,"+","blaOXA-725","1-793/795","===============","0/0",99.75,94.45,"ncbi","NG_062200.1","OXA-12 family class D beta-lactamase AmpS/OXA-725","BETA-LACTAM","ARO:3008720","OXA-725","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",94.45,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.019_639_172.CPHA",1,758,"+","cphA4","4-762/765","========/======","1/1",99.08,96.05,"ncbi","NG_050397.1","subclass B2 metallo-beta-lactamase CphA4","CARBAPENEM","ARO:3003100","cphA4","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",96.05,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.019_677_717.BAS0904",27,614,"+","vanZ-F","21-605/621","========/======","1/3",94.2,84.01,"ncbi","NG_048535.1","glycopeptide resistance protein VanZ-F","VANCOMYCIN","ARO:3002963","vanZ gene in vanF cluster","Perfect","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","ABRicate-NCBI",84.01,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.019_677_912.BLA",127,1042,"+","bla1","1-916/921","===============","0/0",99.46,94.32,"ncbi","NG_047482.1","class A beta-lactamase Bla1","BETA-LACTAM","ARO:3000090","Bla1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",94.32,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.020_039_384.EXPZ",91,1662,"+","lmo0919_fam","1-1572/1572","===============","0/0",100,96.18,"ncbi","NG_050599.1","lincomycin resistance ABC-F type ribosomal protection protein","LINCOSAMIDE","ARO:3004651","","","","","","","ABRicate-NCBI",96.18,"ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
"GMGC10.020_082_748.UNKNOWN",1,1113,"+","vanS-M","1-1113/1113","========/======","2/2",99.91,84.11,"ncbi","NG_048450.1","VanM-type vancomycin resistance histidine kinase VanS","VANCOMYCIN","ARO:3002939","","","","","","","ABRicate-NCBI",84.11,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_085_891.PPS",1,2599,"+","rphC","1-2605/2607","========/======","3/24",99.35,87.38,"ncbi","NG_063825.1","rifamycin-inactivating phosphotransferase RphC","RIFAMYCIN","ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","ABRicate-NCBI",87.38,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.020_091_519.PPS",1,2597,"+","rphC","1-2606/2607","========/======","6/15",99.5,84.17,"ncbi","NG_063825.1","rifamycin-inactivating phosphotransferase RphC","RIFAMYCIN","ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","ABRicate-NCBI",84.17,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.020_091_523.UNKNOWN",2,651,"+","catA9","2-651/651","===============","0/0",99.85,89.54,"ncbi","NG_047577.1","type A-9 chloramphenicol O-acetyltransferase","CHLORAMPHENICOL","ARO:3004455","Streptococcus suis chloramphenicol acetyltransferase","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ABRicate-NCBI",89.54,"ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"GMGC10.020_138_451.CUTR",2,683,"+","vanR-O","11-695/702","========/======","1/3",97.15,82.63,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",82.63,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_145_579.BLA",1,965,"+","blaSGM-1","1-965/966","========/======","2/2",99.79,81.99,"ncbi","NG_049983.1","class A extended-spectrum beta-lactamase SGM-1","BETA-LACTAM","ARO:3006987","","","","","","","ABRicate-NCBI",81.99,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.020_229_445.UNKNOWN",37,1494,"+","qepA6","52-1509/1536","========/======","9/14",94.47,83.21,"ncbi","NG_062246.1","fluoroquinolone efflux MFS transporter QepA6","QUINOLONE","ARO:3004103","QepA2","Strict","ARO:0000036,ARO:0000074,ARO:3000662","ciprofloxacin,moxifloxacin,norfloxacin","ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ABRicate-NCBI",83.21,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_242_095.UNKNOWN",1,1407,"+","qepA6","103-1509/1536","========/======","3/6",91.41,82.91,"ncbi","NG_062246.1","fluoroquinolone efflux MFS transporter QepA6","QUINOLONE","ARO:3004103","QepA2","Strict","ARO:0000036,ARO:0000074,ARO:3000662","ciprofloxacin,moxifloxacin,norfloxacin","ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ABRicate-NCBI",82.91,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_246_640.UNKNOWN",1,1436,"+","qepA6","73-1508/1536","========/======","2/6",93.29,83.53,"ncbi","NG_062246.1","fluoroquinolone efflux MFS transporter QepA6","QUINOLONE","ARO:3004103","QepA2","Strict","ARO:0000036,ARO:0000074,ARO:3000662","ciprofloxacin,moxifloxacin,norfloxacin","ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ABRicate-NCBI",83.53,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_264_244.MEXF",1,3138,"+","oqxB9","1-3138/3153","========/======","2/2",99.49,81.33,"ncbi","NG_050458.1","multidrug efflux RND transporter permease subunit OqxB9","PHENICOL;QUINOLONE","ARO:3003923","oqxB","Strict","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ABRicate-NCBI",81.33,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.020_287_529.PPS",1,2619,"+","rphD","1-2619/2619","========/======","10/20",99.62,80.22,"ncbi","NG_063826.1","rifamycin-inactivating phosphotransferase RphD","RIFAMYCIN","ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","ABRicate-NCBI",80.22,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.020_376_827.CUTR",2,652,"+","vanR-O","11-661/702","========/======","2/2",92.59,81.44,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",81.44,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_377_906.BLT",1,1176,"+","tet(42)","52-1227/1287","========/======","4/4",91.22,85.65,"ncbi","NG_048143.1","tetracycline efflux MFS transporter Tet(42)","TETRACYCLINE","ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",85.65,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_386_980.CUTR",2,669,"+","vanR-O","11-678/702","===============","0/0",95.16,81.89,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",81.89,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_397_067.CUTR",2,652,"+","vanR-O","11-661/702","========/======","2/2",92.59,80.83,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",80.83,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_398_043.BLT",1,1179,"+","tet(42)","52-1230/1287","========/======","4/4",91.45,84.59,"ncbi","NG_048143.1","tetracycline efflux MFS transporter Tet(42)","TETRACYCLINE","ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",84.59,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_415_669.BLT",1,1154,"+","tet(42)","52-1205/1287","========/======","4/4",89.51,80.1,"ncbi","NG_048143.1","tetracycline efflux MFS transporter Tet(42)","TETRACYCLINE","ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",80.1,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_420_949.RLMN",1,1032,"+","clbC","1-1032/1032","===============","0/0",100,93.99,"ncbi","NG_062349.1","23S rRNA (adenine(2503)-C(8))-methyltransferase ClbC","LINCOSAMIDE;MACROLIDE;STREPTOGRAMIN","ARO:3002815","clbB","Perfect","ARO:0000046,ARO:0000066,ARO:3000079,ARO:3000382,ARO:3000385,ARO:3000456,ARO:3000669,ARO:3000671,ARO:3000672,ARO:3000673,ARO:3000674","lincomycin,clindamycin,oxazolidinone antibiotic,azidamfenicol,chloramphenicol,thiamphenicol,virginiamycin M1,tiamulin,madumycin II,griseoviridin,dalfopristin","ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:3000079,ARO:3000387,ARO:3000387,ARO:3000387,ARO:3000670","lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,oxazolidinone antibiotic,phenicol antibiotic,phenicol antibiotic,phenicol antibiotic,pleuromutilin antibiotic","ABRicate-NCBI",93.99,"ARO:3000519","antibiotic target modifying enzyme","target-modifying enzyme"
"GMGC10.020_421_692.UNKNOWN",1,927,"+","mphJ","1-927/927","===============","0/0",100,92.67,"ncbi","NG_063823.1","macrolide 2'-phosphotransferase MphJ","ERYTHROMYCIN;TELITHROMYCIN;TYLOSIN","ARO:3004544","mphJ","Perfect","ARO:0000006,ARO:0000057,ARO:3000145","erythromycin,telithromycin,tylosin","ARO:0000000,ARO:0000000,ARO:0000000","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic","ABRicate-NCBI",92.67,"ARO:3000333","macrolide phosphotransferase (MPH)","mph"
"GMGC10.020_473_279.CUTR",2,653,"+","vanR-O","11-662/702","===============","0/0",92.88,83.9,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",83.9,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_561_855.BLA",14,884,"+","blaLRA-1","14-878/888","========/======","6/14",96.96,80.69,"ncbi","NG_047484.1","class A beta-lactamase LRA-1","BETA-LACTAM","ARO:3002482","","","","","","","ABRicate-NCBI",80.69,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.020_564_424.CAT",7,538,"+","catB1","7-535/630","========/====..","2/9",83.49,80.37,"ncbi","NG_047600.1","type B-1 chloramphenicol O-acetyltransferase CatB1","CHLORAMPHENICOL","ARO:3004451","Agrobacterium fabrum chloramphenicol acetyltransferase","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ABRicate-NCBI",80.37,"ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"GMGC10.020_571_656.CUTR",1,659,"+","vanR-O","10-668/702","===============","0/0",93.87,83.92,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",83.92,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_654_235.CUTR",2,678,"+","vanR-O","11-687/702","========/======","2/2",96.3,82.01,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",82.01,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_689_241.BLT",1,1183,"+","tet(42)","52-1234/1287","===============","0/0",91.92,89.94,"ncbi","NG_048143.1","tetracycline efflux MFS transporter Tet(42)","TETRACYCLINE","ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",89.94,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_708_492.CUTR",1,667,"+","vanR-O","10-676/702","===============","0/0",95.01,82.91,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",82.91,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_717_723.EXPZ",1,1656,"+","car(A)","1-1656/1656","===============","0/0",100,93.24,"ncbi","NG_047561.1","ABC-F type ribosomal protection protein Car(A)","MACROLIDE","ARO:3002817","carA","Perfect","ARO:3001228","carbomycin","ARO:0000000","macrolide antibiotic","ABRicate-NCBI",93.24,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.020_757_773.UNKNOWN",1,1094,"+","cmrA","61-1155/1176","========/======","1/1",93.03,97.35,"ncbi","NG_047661.1","chloramphenicol efflux MFS transporter CmrA","CHLORAMPHENICOL","ARO:3002702","cmrA","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ABRicate-NCBI",97.35,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_787_283.PPS",1,2594,"+","rphC","1-2606/2607","========/======","5/30",99.16,84.05,"ncbi","NG_063825.1","rifamycin-inactivating phosphotransferase RphC","RIFAMYCIN","ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","ABRicate-NCBI",84.05,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.020_799_884.CUTR",1,669,"+","vanR-O","10-678/702","===============","0/0",95.3,82.36,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",82.36,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_800_486.UNKNOWN",1,1188,"+","mgt","52-1239/1257","===============","0/0",94.51,83.42,"ncbi","NG_047984.1","macrolide-inactivating glycosyltransferase","MACROLIDE","ARO:3000463","gimA","Perfect","ARO:3000145,ARO:3000867,ARO:3001222,ARO:3001232","tylosin,oleandomycin,chalcomycin,methymycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic","ABRicate-NCBI",83.42,"ARO:3000458","macrolide glycosyltransferase","mgt"
"GMGC10.020_828_758.CUTR",1,653,"+","vanR-O","10-662/702","===============","0/0",93.02,83.31,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",83.31,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_831_507.UNKNOWN",1,1124,"+","cmlV","1-1127/1239","========/=====.","1/3",90.72,87.75,"ncbi","NG_047660.1","chloramphenicol efflux MFS transporter CmlV","CHLORAMPHENICOL","ARO:3002700","cmlv","Strict","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ABRicate-NCBI",87.75,"ARO:3000249","chloramphenicol phosphotransferase","cpt"
"GMGC10.020_838_222.CMX",1,1157,"+","cmlR","1-1156/1179","========/======","3/5",97.88,83.86,"ncbi","NG_047659.1","chloramphenicol efflux MFS transporter CmlR","CHLORAMPHENICOL","ARO:3002690","Streptomyces lividans cmlR","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ABRicate-NCBI",83.86,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_849_771.CUTR",2,653,"+","vanR-O","11-662/702","===============","0/0",92.88,83.9,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",83.9,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_858_167.CUTR",2,656,"+","vanR-O","11-665/702","===============","0/0",93.3,83.66,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",83.66,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_870_739.CUTR",1,652,"+","vanR-O","10-661/702","===============","0/0",92.88,81.59,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",81.59,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.020_902_622.BLT",1,1178,"+","tet(42)","52-1229/1287","========/======","2/2",91.45,84.31,"ncbi","NG_048143.1","tetracycline efflux MFS transporter Tet(42)","TETRACYCLINE","ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",84.31,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.020_911_755.CUTR",1,664,"+","vanR-O","10-673/702","===============","0/0",94.59,82.68,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",82.68,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
