"Protein.id","query","Start","Stop","Strand","Element.symbol","Element.name","Scope","Type","Subtype","ARG.class","ARG.subclass","Method","Target.length","Reference.sequence.length","X..Coverage.of.reference","X..Identity.to.reference","Alignment.length","Closest.reference.accession","Closest.reference.name","HMM.accession","HMM.description","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","parent","parent_description","geneclass_argcompare"
NA,"GMGC10.022_173_219.TETV",1,1257,"+","tet(V)","tetracycline efflux MFS transporter Tet(V)","core","AMR","AMR","TETRACYCLINE","TETRACYCLINE","EXACTX",419,419,100,100,419,"WP_003896589.1","tetracycline efflux MFS transporter Tet(V)",NA,NA,"ARO:3000181","tet(V)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","AMRFinderPlus-nt",100,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
NA,"GMGC10.022_198_286.CUTR",1,657,"+","vanR","vancomycin resistance response regulator transcription factor VanR","core","AMR","AMR","GLYCOPEPTIDE","VANCOMYCIN","BLASTX",219,231,94.81,90.87,219,"WP_011029105.1","vancomycin resistance response regulator transcription factor VanR-Sc",NA,NA,"ARO:3002930","vanR gene in vanO cluster","Loose","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","AMRFinderPlus-nt",90.87,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
NA,"GMGC10.022_205_375.CUTR",1,690,"+","vanR","vancomycin resistance response regulator transcription factor VanR","core","AMR","AMR","GLYCOPEPTIDE","VANCOMYCIN","BLASTX",230,231,99.57,90.43,230,"WP_011029105.1","vancomycin resistance response regulator transcription factor VanR-Sc",NA,NA,"ARO:3002930","vanR gene in vanO cluster","Loose","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","AMRFinderPlus-nt",90.43,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
NA,"GMGC10.022_213_784.UNKNOWN",1,528,"+","aac(6')-D292","aminoglycoside 6'-N-acetyltransferase AAC(6')-D292","core","AMR","AMR","AMINOGLYCOSIDE","AMIKACIN/KANAMYCIN/TOBRAMYCIN","EXACTX",176,176,100,100,176,"WP_058878818.1","aminoglycoside 6'-N-acetyltransferase AAC(6')-D292",NA,NA,"ARO:3002595","AAC(6')-IIb","Loose","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.022_360_768.ERMX",1,777,"+","erm(V)","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(V)","core","AMR","AMR","LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN","CLINDAMYCIN/ERYTHROMYCIN/TYLOSIN/VERNAMYCIN B","BLASTX",259,259,100,92.28,259,"WP_063844868.1","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(V)",NA,NA,"ARO:3002824","ErmV","Perfect","ARO:0000006,ARO:0000026,ARO:3000145,ARO:3000867,ARO:3001222,ARO:3001227,ARO:3001228,ARO:3001231","erythromycin,streptogramin antibiotic,tylosin,oleandomycin,chalcomycin,kitasamycin,carbomycin,celesticetin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic","AMRFinderPlus-nt",92.28,"ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
NA,"GMGC10.022_361_552.PPS",1,2595,"+","rph","rifamycin-inactivating phosphotransferase Rph","core","AMR","AMR","RIFAMYCIN","RIFAMYCIN","BLASTX",865,865,100,97.8,865,"WP_063854910.1","rifamycin-inactivating phosphotransferase Rph",NA,NA,"ARO:3000444","rphA","Perfect","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","AMRFinderPlus-nt",97.8,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
NA,"GMGC10.022_457_044.UNKNOWN",1,891,"+","blaCME","CME family extended-spectrum class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","BLASTX",297,297,100,94.61,297,"WP_063859570.1","extended-spectrum class A beta-lactamase CME-2",NA,NA,"ARO:3006155","CME-2","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",94.61,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.022_506_167.PENP",1,891,"+","blaPEN-E","PEN-E family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",297,297,100,96.3,297,"WP_011882713.1","PEN-E family class A beta-lactamase",NA,NA,"ARO:3009007","PEN-A29","Loose","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",96.3,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.022_531_931.BLA",1,927,"+","blaPEN-B","PEN-B family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",309,312,100,94.87,312,"WP_163122236.1","class A beta-lactamase PEN-B4",NA,NA,"ARO:3009026","PEN-B4","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",94.87,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.022_556_262.UNKNOWN",1,927,"+","blaTLA-3","extended-spectrum class A beta-lactamase TLA-3","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","ALLELEX",309,309,100,100,309,"WP_059512353.1","extended-spectrum class A beta-lactamase TLA-3",NA,NA,"ARO:3003204","TLA-3","Perfect","ARO:0000004,ARO:0000032","monobactam,cephalosporin","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.022_561_498.YBXI",1,816,"+","blaOXA","OXA-1091 family oxacillin-hydrolyzing class D beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",272,272,100,91.18,272,"WP_012045014.1","oxacillin-hydrolyzing class D beta-lactamase OXA-1091",NA,NA,"ARO:3008509","OXA-1091","Perfect","ARO:0000056","oxacillin","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",91.18,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.022_578_163.BLA",1,936,"+","blaPEN-bcc","PEN family class A beta-lactamase, Bcc-type","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",312,312,100,98.08,312,"WP_027789588.1","PEN family class A beta-lactamase, Bcc-type",NA,NA,"ARO:3009024","PEN-B2","Loose","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",98.08,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.022_589_121.PENP",1,912,"+","blaPEN-N","PEN-N family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","EXACTX",304,304,100,100,304,"WP_060005294.1","PEN-N family class A beta-lactamase",NA,NA,"ARO:3008997","PEN-A1","Loose","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.022_629_076.UNKNOWN",1,552,"+","aac(6')","aminoglycoside 6'-N-acetyltransferase","core","AMR","AMR","AMINOGLYCOSIDE","AMINOGLYCOSIDE","EXACTX",184,184,100,100,184,"WP_049031504.1","aminoglycoside 6'-N-acetyltransferase",NA,NA,"ARO:3002594","AAC(6')-IIa","Strict","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.022_635_976.BLA",1,906,"+","blaPEN-A","PEN-A family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",302,302,100,99.67,302,"WP_105835300.1","class A beta-lactamase PEN-A18",NA,NA,"ARO:3008995","PEN-A18","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",99.67,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.022_646_573.FOLP",217,1026,"+","sul2","sulfonamide-resistant dihydropteroate synthase Sul2","core","AMR","AMR","SULFONAMIDE","SULFONAMIDE","BLASTX",270,283,95.41,100,270,"WP_011270145.1","sulfonamide-resistant dihydropteroate synthase Sul2",NA,NA,"ARO:3000412","sul2","Strict","ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699","sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole","ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282","sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic","AMRFinderPlus-nt",100,"ARO:3004238","sulfonamide resistant sul","sul"
NA,"GMGC10.022_710_240.NEO",1,783,"+","aph(3')-IIb","aminoglycoside O-phosphotransferase APH(3')-IIb","core","AMR","AMR","AMINOGLYCOSIDE","KANAMYCIN","BLASTX",261,268,97.39,91.57,261,"WP_003113011.1","aminoglycoside O-phosphotransferase APH(3')-IIb",NA,NA,"ARO:3002645","APH(3')-IIb","Strict","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",91.57,"ARO:3000126","APH(3')","aph"
NA,"GMGC10.022_711_070.CUTR",1,669,"+","vanR","vancomycin resistance response regulator transcription factor VanR","core","AMR","AMR","GLYCOPEPTIDE","VANCOMYCIN","BLASTX",223,231,100,91.77,231,"WP_011029105.1","vancomycin resistance response regulator transcription factor VanR-Sc",NA,NA,"ARO:3002930","vanR gene in vanO cluster","Loose","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","AMRFinderPlus-nt",91.77,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
NA,"GMGC10.022_729_291.CUTR",1,660,"+","vanR","vancomycin resistance response regulator transcription factor VanR","core","AMR","AMR","GLYCOPEPTIDE","VANCOMYCIN","BLASTX",220,231,95.24,91.82,220,"WP_011029105.1","vancomycin resistance response regulator transcription factor VanR-Sc",NA,NA,"ARO:3002930","vanR gene in vanO cluster","Loose","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","AMRFinderPlus-nt",91.82,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
NA,"GMGC10.022_754_984.AACA7",1,438,"+","aac(6')","aminoglycoside 6'-N-acetyltransferase","core","AMR","AMR","AMINOGLYCOSIDE","AMINOGLYCOSIDE","BLASTX",146,146,100,99.32,146,"WP_071846333.1","aminoglycoside 6'-N-acetyltransferase",NA,NA,"ARO:3002549","AAC(6')-Ic","Strict","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",99.32,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.022_769_805.CAT",1,621,"+","catB1","type B-1 chloramphenicol O-acetyltransferase CatB1","core","AMR","AMR","PHENICOL","CHLORAMPHENICOL","BLASTX",207,209,99.04,95.17,207,"WP_010974114.1","type B-1 chloramphenicol O-acetyltransferase CatB1",NA,NA,"ARO:3004451","Agrobacterium fabrum chloramphenicol acetyltransferase","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","AMRFinderPlus-nt",95.17,"ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
NA,"GMGC10.022_852_240.CUTR",1,687,"+","vanR","vancomycin resistance response regulator transcription factor VanR","core","AMR","AMR","GLYCOPEPTIDE","VANCOMYCIN","BLASTX",229,231,100,90.04,231,"WP_011029105.1","vancomycin resistance response regulator transcription factor VanR-Sc",NA,NA,"ARO:3002930","vanR gene in vanO cluster","Loose","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","AMRFinderPlus-nt",90.04,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
NA,"GMGC10.022_910_553.UNKNOWN",3,260,"-","qacH","quaternary ammonium compound efflux SMR transporter QacH","core","STRESS","BIOCIDE","QUATERNARY AMMONIUM","QUATERNARY AMMONIUM","PARTIAL_CONTIG_ENDX",86,125,68.8,91.86,86,"WP_000121134.1","quaternary ammonium compound efflux SMR transporter QacH",NA,NA,"ARO:3007015","qacG","Strict","ARO:3003823","benzalkonium chloride","ARO:3005386","disinfecting agents and antiseptics","AMRFinderPlus-nt",91.86,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
NA,"GMGC10.022_931_262.STRA",1,762,"+","aph(3'')-Ic","aminoglycoside O-phosphotransferase APH(3'')-Ic","core","AMR","AMR","AMINOGLYCOSIDE","STREPTOMYCIN","BLASTX",254,254,100,98.43,254,"WP_063841015.1","aminoglycoside O-phosphotransferase APH(3'')-Ic",NA,NA,"ARO:3002640","APH(3'')-Ic","Perfect","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","AMRFinderPlus-nt",98.43,"ARO:3000127","APH(3'')","aph"
NA,"GMGC10.022_954_618.SFLR",1,1191,"+","cml","Cml family chloramphenicol efflux MFS transporter","core","AMR","AMR","PHENICOL","CHLORAMPHENICOL","EXACTX",397,397,100,100,397,"WP_061345584.1","Cml family chloramphenicol efflux MFS transporter",NA,NA,"ARO:3005043","cmlA9","Loose","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","AMRFinderPlus-nt",100,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
NA,"GMGC10.022_955_765.AMPC",1,1170,"+","blaOCH","OCH family extended-spectrum class C beta-lactamase","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","BLASTX",390,390,100,94.1,390,"WP_029925205.1","extended-spectrum class C beta-lactamase OCH-7",NA,NA,"ARO:3002520","OCH-7","Perfect","ARO:0000004,ARO:0000032,ARO:3000008","monobactam,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",94.1,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
NA,"GMGC10.023_027_205.BLA",1,612,"+","blaLAP","LAP family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","PARTIALX",204,285,71.58,99.51,204,"WP_012477595.1","class A beta-lactamase LAP-2",NA,NA,"ARO:3004826","LAP-2","Perfect","ARO:0000032,ARO:0000059,ARO:0000063,ARO:0000064,ARO:0000078,ARO:3000008,ARO:3000632,ARO:3000704,ARO:3003832","cephalosporin,cefepime,cefuroxime,amoxicillin,piperacillin,penicillin beta-lactam,benzylpenicillin,cefalotin,ticarcillin","ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",99.51,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.023_043_965.BLA",1,921,"+","bla","class A beta-lactamase Bla1","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",307,309,99.35,92.83,307,"WP_011053164.1","class A beta-lactamase Bla1",NA,NA,"ARO:3000090","Bla1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",92.83,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.023_063_812.QNR",1,642,"+","qnrB38","quinolone resistance pentapeptide repeat protein QnrB38","core","AMR","AMR","QUINOLONE","QUINOLONE","ALLELEX",214,214,100,100,214,"WP_003020537.1","quinolone resistance pentapeptide repeat protein QnrB38",NA,NA,"ARO:3002753","QnrB38","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","AMRFinderPlus-nt",100,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
NA,"GMGC10.023_074_553.BLA",1,804,"+","blaBAT","BAT family class D beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",268,268,100,96.27,268,"WP_003328240.1","class D beta-lactamase BAT-1",NA,NA,"ARO:3004747","BAT-1","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",96.27,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.023_128_981.MBL1",1,882,"+","blaBJP","BJP family subclass B3 metallo-beta-lactamase","core","AMR","AMR","BETA-LACTAM","CARBAPENEM","BLASTX",294,294,100,90.14,294,"WP_011088970.1","subclass B3 metallo-beta-lactamase BJP-1",NA,NA,"ARO:3000856","BJP-1","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",90.14,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
NA,"GMGC10.023_174_770.CPHA",136,933,"+","blaVIM-6","subclass B1 metallo-beta-lactamase VIM-6","core","AMR","AMR","BETA-LACTAM","CARBAPENEM","ALLELEX",266,266,100,100,266,"WP_063865201.1","subclass B1 metallo-beta-lactamase VIM-6",NA,NA,"ARO:3002276","VIM-6","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
NA,"GMGC10.023_221_915.YJDB",1,1641,"+","mcr-5.1","phosphoethanolamine--lipid A transferase MCR-5.1","core","AMR","AMR","COLISTIN","COLISTIN","ALLELEX",547,547,100,100,547,"WP_053821788.1","phosphoethanolamine--lipid A transferase MCR-5.1",NA,NA,"ARO:3004332","MCR-5.1","Perfect","ARO:3000622,ARO:3000624","colistin A,colistin B","ARO:3000053,ARO:3000053","peptide antibiotic,peptide antibiotic","AMRFinderPlus-nt",100,"ARO:3003580","gene altering cell wall charge","cell wall charge"
NA,"GMGC10.023_221_920.EMRE",1,261,"+","qacE","quaternary ammonium compound efflux SMR transporter QacE","core","STRESS","BIOCIDE","QUATERNARY AMMONIUM","QUATERNARY AMMONIUM","PARTIALX",87,110,79.09,100,87,"WP_010890145.1","quaternary ammonium compound efflux SMR transporter QacE",NA,NA,"ARO:3005009","qacE","Strict","ARO:3005386","disinfecting agents and antiseptics","ARO:3005386","disinfecting agents and antiseptics","AMRFinderPlus-nt",100,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
NA,"GMGC10.023_250_110.CPHA",1,771,"+","bla2","BcII family subclass B1 metallo-beta-lactamase","core","AMR","AMR","BETA-LACTAM","CARBAPENEM","BLASTX",257,257,100,94.55,257,"WP_012261328.1","BcII family subclass B1 metallo-beta-lactamase",NA,NA,"ARO:3002878","BcII","Strict","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",94.55,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
NA,"GMGC10.023_252_875.BLA",70,996,"+","bla","class A beta-lactamase Bla1","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",309,309,100,94.82,309,"WP_011053164.1","class A beta-lactamase Bla1",NA,NA,"ARO:3000090","Bla1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",94.82,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.023_254_505.AADA",1,750,"+","ant(9)-Ib","aminoglycoside nucleotidyltransferase ANT(9)-Ib","core","AMR","AMR","AMINOGLYCOSIDE","SPECTINOMYCIN","BLASTX",250,255,98.04,100,250,"WP_063840673.1","aminoglycoside nucleotidyltransferase ANT(9)-Ib",NA,NA,"ARO:3007401","ANT(9)-Ib","Perfect","ARO:0000039","spectinomycin","ARO:0000016","aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000228","ANT(9)","ant"
NA,"GMGC10.023_284_573.AMPC",1,1125,"+","blaCSA","CSA family class C beta-lactamase","core","AMR","AMR","BETA-LACTAM","CEPHALOTHIN","BLASTX",375,375,100,98.67,375,"WP_004384957.1","class C beta-lactamase CSA-2",NA,NA,"ARO:3006870","CSA-2","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",98.67,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
NA,"GMGC10.023_295_369.YBXI",1,885,"+","blaOXA","OXA-548 family class D beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",295,295,100,98.31,295,"WP_087587942.1","OXA-548 family class D beta-lactamase OXA-551",NA,NA,"ARO:3005775","OXA-551","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",98.31,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.023_297_739.LDHA",1,1029,"+","vanH-Ao2","D-lactate dehydrogenase VanH-Ao2","core","AMR","AMR","GLYCOPEPTIDE","VANCOMYCIN","BLASTX",343,343,100,99.71,343,"WP_063856700.1","D-lactate dehydrogenase VanH-Ao2",NA,NA,"ARO:3002948","vanH gene in vanO cluster","Strict","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","AMRFinderPlus-nt",99.71,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
NA,"GMGC10.023_396_535.MEXE",1,1173,"+","oqxA","multidrug efflux RND transporter periplasmic adaptor subunit OqxA","core","AMR","AMR","PHENICOL/QUINOLONE","PHENICOL/QUINOLONE","BLASTX",391,391,100,91.56,391,"WP_002914189.1","multidrug efflux RND transporter periplasmic adaptor subunit OqxA",NA,NA,"ARO:3003922","oqxA","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","AMRFinderPlus-nt",91.56,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
NA,"GMGC10.023_396_702.UNKNOWN",1,1143,"+","blaACT","ACT family cephalosporin-hydrolyzing class C beta-lactamase","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","BLASTX",381,381,100,98.43,381,"WP_112792421.1","cephalosporin-hydrolyzing class C beta-lactamase ACT-59",NA,NA,"ARO:3006254","ACT-59","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",98.43,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
NA,"GMGC10.023_400_570.AMPC",1,1140,"+","blaACT","ACT family cephalosporin-hydrolyzing class C beta-lactamase","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","BLASTX",380,381,99.74,99.47,380,"WP_023310120.1","cephalosporin-hydrolyzing class C beta-lactamase ACT-2",NA,NA,"ARO:3001822","ACT-2","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",99.47,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
NA,"GMGC10.023_432_164.YFMR",1,1953,"+","taeA","ABC-F type ribosomal protection protein TaeA","core","AMR","AMR","PLEUROMUTILIN","TIAMULIN","BLASTX",651,648,100,91.71,651,"WP_071223118.1","ABC-F type ribosomal protection protein TaeA",NA,NA,"ARO:3003986","TaeA","Perfect","ARO:3001317","pleuromutilin","ARO:3000670","pleuromutilin antibiotic","AMRFinderPlus-nt",91.71,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
