"gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","query","Position.in.contig","Phenotype","Accession.no.","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","ARG.class","parent","parent_description","geneclass_argcompare"
"TOprJ4",86.41,"1398/1431",96.995108315863,"1..1393","GMGC10.016_313_955.CUSC","1..1393","Doxycycline, Tetracycline, Minocycline, Tigecycline","CP091084","ARO:3000802","OprJ","Loose","ARO:0000006,ARO:0000014,ARO:0000032,ARO:0000051,ARO:3000008,ARO:3000111,ARO:3000188,ARO:3000385,ARO:3000663","erythromycin,gentamicin C,cephalosporin,tetracycline,penicillin beta-lactam,novobiocin,trimethoprim,chloramphenicol,ofloxacin","ARO:0000000,ARO:0000001,ARO:0000016,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3000103,ARO:3000171,ARO:3000387","macrolide antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,tetracycline antibiotic,aminocoumarin antibiotic,diaminopyrimidine antibiotic,phenicol antibiotic","ResFinder",86.41,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"blaMOX-3",84,"1056/1149",89.556135770235,"106..1143","GMGC10.016_340_456.AMPC","97..1143","Unknown Beta-lactam","EU515248","ARO:3002186","MOX-3","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",84,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"mcr-7.1",86.78,"1513/1620",91.1728395061728,"126..1620","GMGC10.016_341_105.EPTA","123..1617","Colistin","MG267386","ARO:3004517","MCR-7.1","Perfect","ARO:3000622,ARO:3000624","colistin A,colistin B","ARO:3000053,ARO:3000053","peptide antibiotic,peptide antibiotic","ResFinder",86.78,"Polymyxin","ARO:3003580","gene altering cell wall charge","cell wall charge"
"ampS",93.09,"781/795",97.8616352201258,"1..779","GMGC10.016_341_362.UNKNOWN","1..780","Unknown Beta-lactam","X80276","ARO:3008720","OXA-725","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",93.09,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"mph(K)",97.5429975429975,"407/921",43.1053203040174,"1..407","GMGC10.016_378_038.YCBJ","1..397","Spiramycin, Telithromycin","NC_000964","ARO:3004541","","","","","","","ResFinder",97.5429975429975,"Macrolide","ARO:3000333","macrolide phosphotransferase (MPH)","mph"
"tet(X)",91.73,"1161/1167",99.4858611825193,"7..1167","GMGC10.016_379_798.UNKNOWN","1..1161","Doxycycline, Tetracycline, Minocycline, Tigecycline","M37699","ARO:3000205","tet(X)","Perfect","ARO:0000030,ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tigecycline,tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ResFinder",91.73,"Tetracycline","ARO:3000036","tetracycline inactivation enzyme","tet enzyme"
"fosB1",88.38,"413/417",99.0407673860911,"1..413","GMGC10.016_397_246.FOSB","1..413","Fosfomycin","CP001903","ARO:3007372","FosBx1","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ResFinder",88.38,"Fosfomycin","ARO:3000342","fosfomycin inactivation enzyme","fos"
"aph(3'')-Ia",88.75,"818/819",99.6336996336996,"1..817","GMGC10.016_419_793.STRA","1..817","Streptomycin","X53527","ARO:3002638","APH(3'')-Ia","Perfect","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ResFinder",88.75,"Aminoglycoside","ARO:3000127","APH(3'')","aph"
"mph(N)",89.91,"882/909",96.9196919691969,"1..882","GMGC10.016_505_422.UNKNOWN","1..881","Erythromycin","KF648874","ARO:3000318","mphB","Loose","ARO:0000006,ARO:0000027,ARO:0000057,ARO:0000065,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000867","erythromycin,roxithromycin,telithromycin,clarithromycin,tylosin,spiramycin,azithromycin,dirithromycin,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic","ResFinder",89.91,"Macrolide","ARO:3000333","macrolide phosphotransferase (MPH)","mph"
"tmexD2",84.62,"3101/3135",97.9585326953748,"1..3086","GMGC10.016_598_189.MEXD","1..3086","Doxycycline, Tetracycline, Minocycline, Tigecycline","MN175502","ARO:3000801","MexD","Loose","ARO:0000006,ARO:0000014,ARO:0000032,ARO:0000051,ARO:3000008,ARO:3000111,ARO:3000188,ARO:3000385,ARO:3000663","erythromycin,gentamicin C,cephalosporin,tetracycline,penicillin beta-lactam,novobiocin,trimethoprim,chloramphenicol,ofloxacin","ARO:0000000,ARO:0000001,ARO:0000016,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3000103,ARO:3000171,ARO:3000387","macrolide antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,tetracycline antibiotic,aminocoumarin antibiotic,diaminopyrimidine antibiotic,phenicol antibiotic","ResFinder",84.62,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"ole(C)",87.68,"958/978",97.7505112474438,"1..957","GMGC10.016_615_042.SCLAV_1483","37..993","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",87.68,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"cmx",81.56,"1177/1176",99.0646258503401,"1..1171","GMGC10.016_631_802.UNKNOWN","1..1171","Chloramphenicol","U85507","ARO:3002703","cmx","Strict","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ResFinder",81.56,"Amphenicol","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"tet(42)",85.8,"1197/1287",92.2299922299922,"36..1227","GMGC10.016_634_322.BLT","105..1296","Doxycycline, Tetracycline","EU523697","ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",85.8,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"blaTEM-150",99.82,"570/861",66.2020905923345,"292..861","GMGC10.016_670_569.BLA","82..651","Unknown Beta-lactam","AM183304","ARO:3001017","TEM-150","Perfect","ARO:0000004,ARO:0000032,ARO:0000060,ARO:3000008,ARO:3000637","monobactam,cephalosporin,ceftazidime,penicillin beta-lactam,ampicillin","ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",99.82,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"dfrB3",100,"237/237",100,"1..237","GMGC10.016_690_720.UNKNOWN","1..237","Trimethoprim","X72585","ARO:3003022","dfrB3","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"ere(A)",100,"1257/1257",100,"1..1257","GMGC10.016_697_109.UNKNOWN","1..1257","Erythromycin","FN396877","ARO:3002826","EreA2","Strict","ARO:0000006","erythromycin","ARO:0000000","macrolide antibiotic","ResFinder",100,"Macrolide","ARO:3000320","macrolide esterase","mel"
"rmtG",100,"795/795",100,"1..795","GMGC10.016_701_822.UNKNOWN","1..795","Amikacin, Gentamicin, Tobramycin, Arbekacin","JX486113","ARO:3002668","rmtG","Perfect","ARO:0000013,ARO:0000052,ARO:3000654,ARO:3004015","amikacin,tobramycin,arbekacin,gentamicin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3000519","antibiotic target modifying enzyme","target-modifying enzyme"
"OqxB",81.33,"3122/3153",98.4459245163336,"1..3113","GMGC10.016_755_264.MEXF","1..3113","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",81.33,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"dfrA29",100,"474/474",100,"1..474","GMGC10.016_795_782.FOLA","1..474","Trimethoprim","AM237806","ARO:3002862","dfrA7","Loose","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"aph(3')-VIa",99.87,"780/780",100,"1..780","GMGC10.016_799_665.STRA","1..780","Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Gentamicin, Amikacin","X07753","ARO:3002652","APH(3')-VIa","Perfect","ARO:0000005,ARO:0000013,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000652,ARO:3000655,ARO:3000657","neomycin,amikacin,ribostamycin,butirosin,kanamycin A,isepamicin,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",99.87,"Aminoglycoside","ARO:3000126","APH(3')","aph"
"blaMIR-5",99.48,"1146/1146",100,"1..1146","GMGC10.016_864_425.AMPC","1..1146","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","FJ237367","ARO:3002170","MIR-5","Perfect","ARO:0000004,ARO:0000032","monobactam,cephalosporin","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",99.48,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ole(C)",88.44,"986/978",99.7955010224949,"1..978","GMGC10.016_956_310.SCLAV_1483","43..1026","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",88.44,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"mecC",100,"1998/1998",100,"1..1998","GMGC10.016_996_518.PBPC","1..1998","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam","FR821779","ARO:3001209","mecC","Perfect","ARO:0000015,ARO:3000008","methicillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3003040","beta-lactam resistant penicillin-binding proteins","PBP"
"cat86",92.75,"662/663",99.8491704374057,"2..663","GMGC10.017_051_321.CAT","2..663","Chloramphenicol","K00544","ARO:3002672","Bacillus pumilus cat86","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",92.75,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"tet(42)",97.9,"1236/1287",96.037296037296,"52..1287","GMGC10.017_093_402.BLT","1..1236","Doxycycline, Tetracycline","EU523697","ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",97.9,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"blaADC-25",89.79,"1156/1152",99.6527777777778,"1..1152","GMGC10.017_113_652.AMPC","1..1152","Unknown Beta-lactam","EF016355","ARO:3003868","ADC-25","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",89.79,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"blaOXA-533",96.22,"821/822",99.8783454987834,"1..821","GMGC10.017_113_688.YBXI","1..821","Unknown Beta-lactam","KX668472","ARO:3005763","OXA-533","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",96.22,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"catA2",90.34,"642/642",100,"1..642","GMGC10.017_125_452.CAT","1..642","Chloramphenicol","X53796","ARO:3004656","catII from Escherichia coli K-12","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ResFinder",90.34,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"blaDHA-16",99.3,"1140/1140",100,"1..1140","GMGC10.017_126_150.AMPC","1..1140","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","KM087852","ARO:3002147","DHA-16","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",99.3,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"aadA2",97,"533/792",67.2979797979798,"260..792","GMGC10.017_143_856.AADA","158..690","Spectinomycin, Streptomycin","JQ364967","ARO:3002602","aadA2","Strict","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",97,"Aminoglycoside","ARO:3004275","ANT(3'')","ant"
"blaOXA-464",90.96,"763/762",99.8687664041995,"1..762","GMGC10.017_166_481.UNKNOWN","1..762","Unknown Beta-lactam","KU721146","ARO:3003620","OXA-464","Perfect","ARO:0000056","oxacillin","ARO:3000007","beta-lactam antibiotic","ResFinder",90.96,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"tva(A)",93.81,"1518/1518",100,"1..1518","GMGC10.017_230_583.LSA","1..1518","Tiamulin","ENA_SOX29786","ARO:3004730","","","","","","","ResFinder",93.81,"Pleuromutilin","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"cmlV",82.02,"1101/1311",83.1426392067124,"73..1169","GMGC10.017_231_140.UNKNOWN","1..1094","Chloramphenicol","U09991","ARO:3002700","cmlv","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ResFinder",82.02,"Amphenicol","ARO:3000249","chloramphenicol phosphotransferase","cpt"
"vga(B)",99.94,"1659/1659",100,"1..1659","GMGC10.017_271_645.EXPZ","1..1659","Quinupristin+Dalfopristin","U82085","ARO:3000118","vgaB","Perfect","ARO:0000034,ARO:3000669,ARO:3000670,ARO:3000674","streptogramin A antibiotic,virginiamycin M1,pleuromutilin antibiotic,dalfopristin","ARO:0000026,ARO:0000026,ARO:0000026,ARO:3000670","streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","ResFinder",99.94,"Streptogramin A, Streptogramin B","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"vat(B)",99.84,"639/639",100,"1..639","GMGC10.017_271_646.VATB","1..639","Dalfopristin, Pristinamycin IIA, Virginiamycin M","U19459","ARO:3002841","vatB","Perfect","ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674","virginiamycin M1,madumycin II,griseoviridin,dalfopristin","ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",99.84,"Streptogramin A","ARO:3000233","streptogramin inactivation enzyme","vat"
"OqxB",89.29,"3120/3153",98.95337773549,"1..3120","GMGC10.017_310_864.MEXF","1..3120","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",89.29,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"tet(45)",90.96,"1372/1377",99.6368917937545,"1..1372","GMGC10.017_409_691.UNKNOWN","1..1372","Doxycycline, Tetracycline","JF837331","ARO:3003196","tet(45)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",90.96,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"dfrA16",100,"474/474",100,"1..474","GMGC10.017_426_718.UNKNOWN","16..489","Trimethoprim","AF174129","ARO:3003014","dfrA16","Strict","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"tet(O/32/O)",100,"1920/1920",100,"1..1920","GMGC10.017_617_900.TETP","1..1920","Doxycycline, Tetracycline, Minocycline","NG_048124","ARO:3007119","","","","","","","ResFinder",100,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"hugA",99,"897/897",100,"1..897","GMGC10.017_637_203.BLA","1..897","Unknown Beta-lactam","AF324468","ARO:3008784","OXY-10-1","Loose","ARO:0000004,ARO:0000032,ARO:3000008","monobactam,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",99,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"hugA",87.75,"898/897",99.8885172798216,"1..897","GMGC10.017_638_453.BLA","1..897","Unknown Beta-lactam","AF324468","ARO:3008784","OXY-10-1","Loose","ARO:0000004,ARO:0000032,ARO:3000008","monobactam,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",87.75,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"tet(H)",86.32,"1206/1203",99.2518703241895,"1..1203","GMGC10.017_639_163.TETA","1..1197","Doxycycline, Tetracycline","Y15510","ARO:3000175","tet(H)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",86.32,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"blaOXA-396",100,"789/789",100,"1..789","GMGC10.017_674_129.YBXI","115..903","Amoxicillin, Ampicillin, Meropenem","AY306134","ARO:3001582","OXA-396","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaNDM-1",100,"636/813",78.2287822878229,"49..684","GMGC10.017_689_222.UNKNOWN","1..636","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin","FN396876","ARO:3000589","NDM-1","Perfect","ARO:0000020,ARO:0000032,ARO:0000070,ARO:0000073,ARO:3000008,ARO:3000170","carbapenem,cephalosporin,ertapenem,meropenem,penicillin beta-lactam,imipenem","ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"blaA",90.28,"885/885",100,"1..885","GMGC10.017_800_955.BLA","1..885","Unknown Beta-lactam","AY954728","ARO:3003558","y56 beta-lactamase","Perfect","ARO:0000032,ARO:3000008,ARO:3003832","cephalosporin,penicillin beta-lactam,ticarcillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",90.28,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"sul1",100,"450/840",53.5714285714286,"391..840","GMGC10.017_894_278.FOLP","242..691","Sulfamethoxazole","JF262178","ARO:3000410","sul1","Strict","ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699","sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole","ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282","sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3004238","sulfonamide resistant sul","sul"
"blaA",93.67,"885/885",100,"1..885","GMGC10.017_900_627.BLA","1..885","Unknown Beta-lactam","AY954728","ARO:3003558","y56 beta-lactamase","Perfect","ARO:0000032,ARO:3000008,ARO:3003832","cephalosporin,penicillin beta-lactam,ticarcillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",93.67,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"vat(F)",98.65,"666/666",99.0990990990991,"1..666","GMGC10.017_910_389.VATB","1..660","Dalfopristin, Pristinamycin IIA, Virginiamycin M","AF170730","ARO:3003744","vatF","Perfect","ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674","virginiamycin M1,madumycin II,griseoviridin,dalfopristin","ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",98.65,"Streptogramin A","ARO:3000233","streptogramin inactivation enzyme","vat"
"sul1",100,"526/828",63.5265700483092,"4..529","GMGC10.017_946_110.FOLP","1..526","Sulfamethoxazole","AY522923","ARO:3000410","sul1","Strict","ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699","sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole","ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282","sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3004238","sulfonamide resistant sul","sul"
"blaACT-2",84.93,"1141/1146",99.3891797556719,"7..1146","GMGC10.017_978_297.AMPC","1..1140","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AM076977","ARO:3001822","ACT-2","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",84.93,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"fosA",88.89,"405/426",93.6619718309859,"1..402","GMGC10.017_978_399.FOSB","1..402","Fosfomycin","AEXB01000013","ARO:3002804","FosA2","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ResFinder",88.89,"Fosfomycin","ARO:3000342","fosfomycin inactivation enzyme","fos"
"OqxB",88.24,"3120/3153",98.95337773549,"1..3120","GMGC10.017_979_840.MEXF","1..3120","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",88.24,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"mph(K)",92.85,"923/921",99.7828447339848,"1..921","GMGC10.018_028_874.YCBJ","1..921","Spiramycin, Telithromycin","NC_000964","ARO:3004541","","","","","","","ResFinder",92.85,"Macrolide","ARO:3000333","macrolide phosphotransferase (MPH)","mph"
"aac(2')-Ib",80.18,"545/588",91.6666666666667,"46..587","GMGC10.018_063_647.AAC","28..569","Gentamicin, Tobramycin, Dibekacin, Netilmicin","U41471","ARO:3002524","AAC(2')-Ib","Strict","ARO:0000007,ARO:0000038,ARO:0000052,ARO:3007377,ARO:3007382","dibekacin,netilmicin,tobramycin,6'-N-ethylnetilmicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",80.18,"Aminoglycoside","ARO:3000341","AAC(2')","aac"
